sample_id,status,num_nodes,num_edges
f27de2992057b45f39010c74d42732b2f230b63c,ok,512,1717
4da541cae71bfebbcb52520f51d01a607266fda1,ok,512,1778
d859a1ae7d0a4241309370f7399b42755a4e382a,ok,107,370
3d035e3c8d870c773b2c6dc9bb25dad6989c0d77,ok,512,1866
ff0596302c40f783bc38560af1780d153e6dc855,ok,289,1010
2ce9ae6702d7bae5919817d3fd10289017cebe90,ok,418,1492
bc41fc53c8d97166ffa3483b21425e07df26a389,ok,233,810
6342139e56fab6baff4a64d2c75af23b5a2f01dd,ok,82,282
c7902f6e72f78da8b2c18d7a5b72446bfc2cc227,ok,28,88
5e507a1d1509739c6a3f15317e3c7753056b59c2,ok,159,551
b871e6332043bcc362499c646e70db0605c264df,ok,129,450
97a89ff85fa7ce28ca4d058714ca48463bede487,ok,17,52
bec525b39276b3fa1aa54a9bc4e554baa54ff907,ok,512,1742
ba9d52d651c0b872fb936b415407b558b649aa4f,ok,512,1832
77883b3e9750e8b47f7948c100a7da58e75d2cfc,ok,401,1431
be0bd251ca0330f08274bdbf488b856e2715136a,ok,93,302
b6eb990a22a5a976602566017b6fe9d192d204e8,ok,512,1835
d42bd9af77b83f4e7a3e5cd208ac1415363db445,ok,369,1332
fcaad44f3b3d8e1f95a902144b810dabc170e44b,ok,25,80
09f8b49c1b081f90794085d1d85c6aa4647f7d34,ok,35,110
481c6ddfa2fff89e78ce37dd153c66b2d95e599d,ok,37,120
f3ddae7be4a8d278753a3bcc96a5074f11678f33,ok,148,506
bd8979432f9b21d06970c13419a3ce194c298963,ok,512,1836
1869962852dbf145cfee121df7bfcd2f422ceed6,ok,512,1840
6c24c5c4ebb53d03454c857c363f05861ade9dd8,ok,49,158
e2cce1d50161f05859642dbfcbd0ca270e712669,ok,512,1883
5201b337ba5dacc42328eedb6f02f30ddce5a57a,ok,512,1752
4dcb2f60f9047c6c074a61c7641389864b4831dc,ok,33,100
22a933b8b433de85de87615fc8a2e6cfca6dedf4,ok,13,38
9e99eeb1fc35986e92d9bdb6663f9e7160aff812,ok,149,518
7088eeff4915e5ddfb1687be3366ddbf0db36a2a,ok,16,48
36508ad0183623b8cd0dfa01276f7fe63d322426,ok,512,1807
37b338561899be2a5f1660e4edef10c9f9de6fc3,ok,512,1864
17474aca3ded4dd7b08d015f61acc21c69e9eb24,ok,498,1870
bab76207ae4dc685eb480cb56944ed202e40a592,ok,366,1268
dd3f6bb20ed4ae264fc0185bff2dd0a8934bc2d5,ok,75,246
d91393886d43605f3c51f8d8fb4d16e9c6d6e862,ok,430,1532
f732a81c8de03d9d3fdb614b4a87082b706f551c,ok,512,1827
3f9abaae82c8396270822dd70b738595670dec12,ok,250,884
ede798be7a811c0db877cd8828df3c92818f38b5,ok,246,862
698491df1f6d1e2bbc3a8715a23ae9f8f05b19c9,ok,225,782
aadd960eee61f3e911e92db7b289f209f8f72a7b,ok,512,1789
386ab875656f2f135485ad565aa204e8b0d6e390,ok,106,356
29f22b101f16a6f838377989c03cd389e1e92b99,ok,512,1842
ab8c001a8433b0cbecef2de3eac92b26cbe74517,ok,327,1139
b20823383b3ab51b3b2e305d967868e09949526b,ok,379,1345
d4ef13662ac00d4ce4cda2d59a3df0e876b09685,ok,19,58
cac5b453bfef2ff623b4549572a7cbd5a260f21a,ok,512,1795
82e7a73bfe54e07d2ec3aba7d89d5ed77556004f,ok,59,204
89d7f23c31ef3e800b992ad106c892ea4920d971,ok,512,1837
9876c41c6abdac295fb795049d855524fb85de0f,ok,512,1834
2ca6a875d9369a16c30cf999ffced442e1761618,ok,139,456
27285df19966e58b8e657064333793f7548ef574,ok,512,1928
b0abb6dde6908caf515c9b293a468f1c1df8555a,ok,257,910
