sample_id,status,num_nodes,num_edges
d3f08a4fe9ead6435be071170af6373c497a9156,ok,512,1857
8387322febeb533863b601327041566c04c4b114,ok,512,1875
3017794b341dd0f07fa844d9cc4863723070ca0f,ok,268,917
65eeaf79c7c3ce1c957f881af394f0fd76142187,ok,468,1666
46a99c614cb86052c9892b34390cd0f1bc7f369a,ok,512,1877
1e55fc66ab34d2286e0865a00c82f887ee1f95fd,ok,19,56
482d982bea393872f97f182ebca623b2d4bf3bfc,ok,188,680
1749aa0eb464a6dc40636c35d1832757ab0ee72c,ok,512,1776
f28cb821954b30a20bcc3e5a6ff1011a2514f40c,ok,390,1412
5a9cc4ee1231cc9b29c7c9a7d17d471a83fd18ae,ok,27,90
4935ec417a6589622a4335225f8bb734326fc839,ok,229,792
383f15f9b92f530aaf7bf24f56e0ca046712196d,ok,512,1852
e813a8a75f527a2f088cbcbad6e2e09d542e73ed,ok,119,412
d9d2e3e1c44f53a97ee2bcb96361e1a0d5d6f52f,ok,28,84
834760e148a0cd9a630572328db6722b4682d855,ok,512,1885
8ef59f4216798d0eff88814fc8d2ba4574a2d4cb,ok,188,662
42be1653974675a9f73b88a93c1fe7b760492c8c,ok,37,118
1525b8b5fe77c0aceff1aba20d80cf1d983bb250,ok,512,1756
4b3da9d6748cb19563867c64d65c422c77b8a255,ok,512,1760
4ee635eff87fb63e5f7026fc071509ba3a448b08,ok,222,772
fba41b89f171eb81f80ca96efcc7cc9861c2161e,ok,512,1776
05f350905e1bb66e525c201d23c4de6e58610f52,ok,512,1848
76886a9cfa798c7cfa4250d722eaece4ebf73b9a,ok,181,629
73ade5a02af5cb7ba5674a900534c357d3d060a2,ok,75,242
b64c2152a15ab37d088ab2019b1aad28f8062e4d,ok,512,1884
4e1a231339466921c1020885e576c447810e50be,ok,441,1594
98906e4ef09b9c44ddf893e0bb3e3d00bff5988a,ok,51,162
974d8830bfaf1f4aac7877307ced5faedebdc1b1,ok,419,1453
05c5eaba31d5f0e6939809abd5c44b7d265b4303,ok,284,990
89f0ae5c80adcda375a3d97f517efffa2829d449,ok,512,1802
2bf5db0fb71508682262dfebe71f858d77c8f3e8,ok,453,1677
b4126c3606129fe174813c301095a922110d70eb,ok,487,1790
1908bc3dd7a8853190bd886e6a03b5155b1a4804,ok,141,491
04e6a14ad984c9c542690acb22b832140202421f,ok,59,180
12b2452d91fa15964379ff2a6a595f3a7b237b53,ok,512,1844
a8caff3ec52610a25af826ce0c6e6926d75df259,ok,512,1825
e114ff262745c506e8d0e6f6af9113e118d75920,ok,80,266
ae87df8ce90e07f4f08df63b5f8a6d8be2277710,ok,299,1058
149085a3e30944323cb48020102f546eb1613d51,ok,512,1802
7f2e1cf7aa7383120efa79399bed8c927572a04b,ok,512,1804
00c0c61d318994bd66dc1103de2204df447a62df,ok,54,176
0762843f87cea27d394f6651d447a341a26d6671,ok,446,1649
1f6d8246cec41f3da6e15d0a00ea26d0a65187d7,ok,151,518
a3d1dd32c05aeda2320d4b4faf87b99ac4785875,ok,79,256
e0a9c546d2a6d57b16003036aaa73ddbba74b015,ok,181,610
2a1b5f8446a8a5bb875bf73ec76c709533ebca6e,ok,218,770
3a5668f81bf797594465a7260e7a22ef47a76b57,ok,456,1587
5af9353bd91c09321a2da3786188c6032e227186,ok,198,676
357405a489ae69eedb7769e3444d28c835669ad8,ok,512,1768
9b17047926c5d3edaa4f6c61e3e21999467dd36e,ok,512,1844
fb60ab083afc5aca5d166d8d9ab66e4e6b061b83,ok,134,476
8b43db13159180452414c0fb76401fb8403de912,ok,139,518
481215159bde257585a61cbde5afddcbdd1ed71e,ok,124,424
863920ebb3e639e5da26e28a73166c5c5377e7f4,ok,466,1594
312e22f41adeb533f9a2621e610df3ced2dd8651,ok,512,1822
a369b0de0f21d070bcd146ad2513ac5bbe75f292,ok,512,1790
1a4c695e96241db391f48c2bc8ca5324f53a0f1e,ok,407,1419
9d24caaf5a916cad2a02a69d6dce9d7805f63036,ok,284,1010
c1a0cdb27da6ff6875a0fcf656c3107ebb78ac6e,ok,237,852
c7ad0993a3db5afe39da31cbde7f2a3a0abcb008,ok,53,176
8c263e55e8300d2b5a23fdfed69935a71ec0b74c,ok,19,58
97aa9fb35cdc6ef2e0c047045b0667182cbdc0e7,ok,351,1281
7bfd8e5dcc561cf7482bb51cf5970dd16fcce1ab,ok,25,78
42f1b83001c86af904834842b0d98c1da918031c,ok,512,1809
82d848252c50778b3db1bd2ee4b8b30d2d226e43,ok,512,1772
2812442cc13c686d51da121a437704dd2a80ba93,ok,26,82
1a2b07af629705a97ad8e44f52efd50e4a4367e4,ok,512,1854
627a976ff85a4174e678a00ad8c0378d3ecd0328,ok,512,1817
000ca3e2759c80b46b393ef7f377c5ca4c074b41,ok,151,534
e9a41000438e442bf51c26f00317e55dfd775abc,ok,512,1784
6c7baf1a17a4f5d8a4aebe5f450848a5561c01de,ok,512,1770
a90ffde6c35311d9112ef862b43bf24dc3a27759,ok,73,244
d6ffba0a273fa6f62698ffad9d6db23fc663cc81,ok,512,1794
05dcdea405047f294b2c509200bc7635ceba34f8,ok,53,172
1a6d77065abb932c9d6c4358b7e7cdbe6949f0ab,ok,512,1822
84cd3298aab673d5f5317731e7dd9fc785def5eb,ok,140,477
1535e327c07cd7550f2c2cd4c04314b7c35649aa,ok,512,1793
5fd98c7b125d22d242b9cc206dd3e34eee85d370,ok,361,1210
5c913cfc5aaad4181ca89594685356e962f26e10,ok,512,1846
